id,Date,Sport,Séance,Exercice,Durée,poid,Nbr_de_repetitions,Commentaire
138,2024-04-03,Musculation,Pectoraux,Développer Incliné Haltères,,16.0,7.0,
139,2024-04-03,Musculation,Pectoraux,Ecartés Poulie,,36.0,12.0,
140,2024-04-03,Musculation,Pectoraux,Ecartés Poulie,,41.0,12.0,
141,2024-04-03,Musculation,Pectoraux,Ecartés Poulie,,41.0,12.0,
142,2024-04-03,Musculation,Pectoraux,Ecartés Poulie,,41.0,12.0,
143,2024-04-03,Cardio,,Tennis,60.0,,,
144,2024-06-03,Musculation,Dos,Seated Row,,53.0,12.0,
145,2024-06-03,Musculation,Dos,Seated Row,,59.0,10.0,
146,2024-06-03,Musculation,Dos,Seated Row,,66.0,10.0,
147,2024-06-03,Musculation,Dos,Seated Row,,66.0,10.0,
148,2024-06-03,Musculation,Dos,Seated Row,,73.0,10.0,
149,2024-06-03,Musculation,Dos,Seated Row,,73.0,10.0,
150,2024-06-03,Musculation,Dos,Arm Curl,,32.0,10.0,
151,2024-06-03,Musculation,Dos,Arm Curl,,36.0,10.0,
152,2024-06-03,Musculation,Dos,Arm Curl,,36.0,10.0,
153,2024-06-03,Musculation,Dos,Arm Curl,,36.0,10.0,
154,2024-06-03,Musculation,Dos,Rear Delt,,52.0,10.0,
155,2024-06-03,Musculation,Dos,Rear Delt,,59.0,10.0,
156,2024-06-03,Musculation,Dos,Rear Delt,,69.0,10.0,
157,2024-06-03,Musculation,Dos,Rear Delt,,69.0,10.0,
158,2024-06-03,Musculation,Dos,Rear Delt,,69.0,10.0,
159,2024-07-03,Cardio,,Vélo Elliptique,25.0,,,
160,2024-07-03,Cardio,,,,,,"Pompes
Epaules
Abdo allongée jambes levée 
Exercice avec poid 
Planche 
Abs Wheel
Squat avec haltères 16kg"
161,2024-07-03,Musculation,Épaules,Élévations Latérales,,5.0,12.0,
162,2024-07-03,Musculation,Épaules,Élévations Latérales,,6.0,10.0,
163,2024-07-03,Musculation,Épaules,Élévations Latérales,,6.0,12.0,
164,2024-07-03,Musculation,Épaules,Élévations Latérales,,5.0,10.0,
165,2024-08-03,Musculation,Bras,Triceps à la Poulie,,36.0,12.0,
166,2024-08-03,Musculation,Bras,Triceps à la Poulie,,41.0,12.0,
